"","DISEASECODE","DIAGNOSISDISEASE","CNT"
"16316","S52505","右橈骨遠位端粉砕骨折",3
"16317","S52505","左橈骨遠位端粉砕骨折",3
"16318","S52505","橈骨遠位端粉砕骨折",1
"16319","S52506","右橈骨遠位端関節内骨折",5
"16320","S52506","右橈骨遠位端関節内骨折後遺症",2
"16321","S52506","左橈骨遠位端関節内骨折",3
"16322","S52510","コリース骨折",1
"16323","S52510","右コリース骨折",1
"16324","S52510","左コリース骨折",2
"16325","S52512","左橈骨遠位端開放骨折",1
"16326","S52512","橈骨遠位端開放骨折",1
"16327","S52600","右橈尺骨両骨の遠位端の骨折",1
"16328","S52600","左橈尺骨両骨の遠位端の骨折",1
"16329","S52610","左橈骨尺骨遠位部開放骨折",1
"16330","S52800","左尺骨茎状突起骨折",2
"16331","S52801","両側橈骨骨折",3
"16332","S52801","右橈骨骨折",3
"16333","S52801","左橈骨骨折",4
"16334","S52801","左橈骨骨折術後",1
"16335","S52801","橈骨骨折",1
"16336","S52810","右尺骨の遠位端の骨折",3
"16337","S52810","左尺骨の遠位端の骨折",1
"16338","S52820","左尺骨頭の骨折",1
"16339","S52900","右前腕の骨折",2
"16340","S52900","左前腕の骨折",2
"16341","S53000","右橈骨頭の脱臼",2
"16342","S53000","橈骨頭の脱臼",4
"16343","S53101","右肘関節脱臼",1
"16344","S53101","左肘関節脱臼",3
"16345","S53201","左肘関節外側側副靱帯損傷",2
"16346","S53201","肘関節外側側副靱帯損傷",1
"16347","S53400","右肘の捻挫",2
"16348","S54001","右尺骨神経断裂",1
"16349","S54001","左尺骨神経断裂",2
"16350","S54102","正中神経傷害",1
"16351","S54201","左橈骨神経傷害",1
"16352","S54201","橈骨神経傷害",2
