"","WELFARECODE","MEDICINENAME1","CNT"
"315","2115400A1193","ネオフィリン注(250mg/10ml)",63
"316","2115405A1021","レスピア静注（６０ｍｇ／３ｍＬ）",138
"317","2119400A1036","☆プロタノールＬ注(0.2mg/1ml)【AD】",6
"318","2119400A1036","プロタノールＬ注(0.2mg/1ml)【AD】",18
"319","2119401A1057","☆エホチール注(10mg/1ml)【AD】",30
"320","2119401A1057","エホチール注(10mg/1ml)【AD】",57
"321","2119402A1299","☆イノバン注(100mg/5ml)【AD】",86
"322","2119402A1299","イノバン注(100mg/5ml)【AD】",346
"323","2119402P4037","☆イノバン注ｼﾘﾝｼﾞ0.3%(150mg/50ml)【AD】",1642
"324","2119402P4037","イノバン注ｼﾘﾝｼﾞ0.3%(150mg/50ml)【AD】",2147
"325","2119404A1182","ﾄﾞﾌﾞﾀﾐﾝ塩酸塩点滴静注液(100mg/5mL)｢ｻﾜｲ｣",89
"326","2119404A1212","【ICU･NICU限定】ドブタミン点滴静注液「Ｆ」(100mg/5mL)",50
"327","2119404A1212","☆ドブタミン点滴静注液「Ｆ」(100mg/5mL)",2069
"328","2119404A1212","ドブタミン点滴静注液「Ｆ」(100mg/5mL)",2683
"329","2119404G6055","☆ﾄﾞﾌﾞﾀﾐﾝ持続静注ｼﾘﾝｼﾞ｢KKC｣(150mg/50mL)",1892
"330","2119404G6055","☆ドブポン注ｼﾘﾝｼﾞ0.3%(150mg/50ml)",2305
"331","2119404G6055","ﾄﾞﾌﾞﾀﾐﾝ持続静注ｼﾘﾝｼﾞ｢KKC｣(150mg/50mL)",6693
"332","2119404G6055","ﾄﾞﾌﾞﾀﾐﾝ持続静注ｼﾘﾝｼﾞ｢ﾃﾙﾓ｣(150mg/50mL)",862
"333","2119407A1020","☆コアテック注(5mg/5ml)",7
"334","2119407A1020","コアテック注(5mg/5ml)",47
