"","BYOMEICD","BYOMEI","CNT"
"581","C419","悪性骨巨細胞腫",12
"582","C419","悪性骨腫瘍",24
"583","C419","軟骨肉腫",4
"584","C419","骨肉腫",199
"585","C430","口唇悪性黒色腫",14
"586","C431","眼瞼悪性黒色腫",33
"587","C433","耳前部悪性黒色腫",3
"588","C433","頬部悪性黒色腫",18
"589","C433","顔面悪性黒色腫",6
"590","C433","鼻尖悪性黒色腫",1
"591","C433","鼻腔悪性黒色腫",18
"592","C435","仙骨部悪性黒色腫",4
"593","C435","胸部悪性黒色腫",3
"594","C436","上肢悪性黒色腫",4
"595","C436","前腕部悪性黒色腫",4
"596","C436","手指悪性黒色腫",10
"597","C436","手指爪下悪性黒色腫",3
"598","C437","下肢の悪性黒色腫",6
"599","C437","下肢悪性黒色腫",32
"600","C437","母趾悪性黒色腫",15
"601","C437","足底部悪性黒色腫",19
"602","C437","足背部悪性黒色腫",17
"603","C437","足部悪性黒色腫",21
"604","C437","踵部悪性黒色腫",25
"605","C438","皮膚境界部悪性黒色腫",81
"606","C439","ＢＲＡＦ遺伝子変異陽性悪性黒色腫",13
"607","C439","悪性黒色腫",236
"608","C439","手指皮膚悪性黒色腫",1
"609","C441","上眼瞼基底細胞癌",3
"610","C441","下眼瞼基底細胞癌",17
"611","C441","下眼瞼有棘細胞癌",14
"612","C441","眼瞼メルケル細胞癌",2
"613","C441","眼瞼脂腺癌",18
"614","C441","眼角基底細胞癌",3
"615","C442","外耳道癌",87
"616","C443","頬部隆起性皮膚線維肉腫",1
"617","C443","顔面メルケル細胞癌",1
"618","C443","顔面基底細胞癌",15
"619","C443","顔面有棘細胞癌",28
"620","C443","顔面隆起性皮膚線維肉腫",7
"621","C443","鼻尖基底細胞癌",3
"622","C443","鼻翼基底細胞癌",7
"623","C443","鼻背基底細胞癌",6
"624","C444","頚部皮膚悪性腫瘍",1
"625","C444","頭部基底細胞癌",3
"626","C444","頭部有棘細胞癌",6
"627","C445","会陰部パジェット病",36
"628","C445","肛門周囲パジェット病",1
"629","C445","肛門部有棘細胞癌",4
"630","C445","背部有棘細胞癌",2
"631","C445","腋窩アポクリン腺癌",15
"632","C445","腋窩有棘細胞癌",1
"633","C445","腹部有棘細胞癌",5
"634","C445","腹部隆起性皮膚線維肉腫",6
"635","C445","臍部基底細胞癌",6
"636","C445","鼡径部有棘細胞癌",9
"637","C446","前腕基底細胞癌",1
"638","C446","母指有棘細胞癌",3
"639","C446","示指有棘細胞癌",3
"640","C446","肩部有棘細胞癌",6
"641","C447","下腿基底細胞癌",6
"642","C447","下腿有棘細胞癌",13
"643","C447","下腿皮膚癌",2
"644","C447","大腿基底細胞癌",3
"645","C447","膝部有棘細胞癌",6
"646","C449","エクリン汗孔癌",5
"647","C449","乳房外パジェット病",59
"648","C449","前額部基底細胞癌",2
"649","C449","基底細胞癌",8
"650","C449","有棘細胞癌",138
"651","C449","汗腺癌",21
"652","C449","皮膚癌",2
"653","C449","脂腺癌",13
"654","C449","隆起性皮膚線維肉腫",4
"655","C450","悪性胸膜中皮腫",60
"656","C459","中皮腫",2
"657","C469","カポジ肉腫",10
"658","C479","悪性末梢神経鞘腫",9
"659","C479","末梢神経悪性腫瘍",17
"660","C480","巨大後腹膜脂肪肉腫",33
"661","C480","後腹膜悪性腫瘍",46
"662","C480","後腹膜神経芽腫",33
"663","C480","後腹膜胚細胞腫瘍",19
"664","C480","後腹膜脂肪肉腫",78
"665","C481","腸間膜悪性腫瘍",5
"666","C482","腹膜癌",408
"667","C490","頚部肉腫",1
"668","C490","頚部脂肪肉腫",1
"669","C490","頚部血管肉腫",1
"670","C490","頭部血管肉腫",35
"671","C491","前腕悪性軟部腫瘍",6
"672","C491","前腕横紋筋肉腫",26
"673","C491","手部悪性軟部腫瘍",9
"674","C491","肩部悪性軟部腫瘍",15
"675","C492","下腿悪性軟部腫瘍",3
"676","C492","大腿悪性軟部腫瘍",63
"677","C492","大腿線維肉腫",6
"678","C492","大腿部脂肪肉腫",14
"679","C492","膝部悪性軟部腫瘍",9
"680","C493","胸壁脂肪肉腫",15
"681","C493","胸部悪性軟部腫瘍",6
"682","C494","腹部平滑筋肉腫",1
"683","C494","腹部悪性軟部腫瘍",6
"684","C494","腹部脂肪肉腫",16
"685","C495","殿部悪性軟部腫瘍",7
"686","C495","骨盤内悪性軟部腫瘍",6
"687","C495","骨盤部悪性軟部腫瘍",4
"688","C499","左膝軟部組織悪性腫瘍",2
"689","C499","平滑筋肉腫",1
"690","C499","悪性軟部腫瘍",102
"691","C499","横紋筋肉腫",93
"692","C499","滑膜肉腫",31
"693","C499","線維肉腫",3
"694","C499","肉腫",160
"695","C499","脂肪肉腫",5
"696","C499","血管肉腫",47
"697","C499","軟部組織悪性腫瘍",51
"698","C500","乳房パジェット病",6
"699","C501","乳房中央部乳癌",794
"700","C502","乳房上内側部乳癌",870
"701","C502","右乳房上内側部乳癌",4
"702","C502","右乳房上内側部乳癌の術後",2
"703","C502","左乳房上内側部乳癌",2
"704","C502","左乳房上内側部乳癌の術後",2
"705","C503","乳房下内側部乳癌",392
"706","C503","左乳房下内側部乳癌の疑い",1
"707","C504","乳房上外側部乳癌",2608
"708","C504","右乳房上外側部乳癌",14
"709","C504","左乳房上外側部乳癌",6
"710","C505","乳房下外側部乳癌",1113
"711","C505","左乳房下外側部乳癌",3
"712","C506","腋窩部乳癌",23
"713","C508","乳房境界部乳癌",153
"714","C509","ＨＥＲ２低発現乳癌",1
"715","C509","ＨＥＲ２陽性乳癌",131
"716","C509","乳癌",1527
"717","C509","乳癌再発",146
"718","C509","乳癌局所再発",10
"719","C509","乳癌術後胸壁再発",6
"720","C509","右乳癌",14
"721","C509","右乳癌再発",1
"722","C509","左乳癌",24
